Headline,News
US Oil Rig Count Unchanged As WTI Slumps Below 100.html,"The number of total active drilling rigs in the United States rose by 2 this week, according to new data from Baker Hughes published on Friday. The total rig count rose to 758 this week—267 rigs higher than the rig count this time in 2021. Oil rigs in the United States were unchanged this week at 599. Gas rigs rose by 2, to 155. Miscellaneous rigs stayed the same at 4.
 The rig count in the Permian Basin fell by 1 to 349 this week. Rigs in the Eagle Ford increased by 1 to 70. Oil and gas rigs in the Permian are 107 above where they were this time last year. Primary Vision's Frac Spread Count, an estimate of the number of crews completing unfinished wells—a more frugal use of finances than drilling new wells—slipped to 279 for week ending July 15, compared to 242 a year ago. Crude oil production in the United States slipped to 11.9 million bpd in the week ending July 15, down 100,000 bpd from the week prior.
 At 10:00 a.m. ET, oil prices were trending up on the day, but still down slightly on the week as recession fears continue to trump the Russia factor. WTI was trading at $96.53—up $0.18 per barrel (+0.19%) on the day, but down just over $1 per barrel on the week. The Brent benchmark traded at $104.50 per barrel, up $0.65 (+0.63%) on the day, and up roughly $3 on the week. At 1:06 pm ET, WTI was trading at $96.70, while Brent was trading at $104.80 per barrel—both up on the day."
High Crude Prices Are Here To Stay.html,"Crude oil has been on a decline over the past few weeks as growing worry about a looming global recession weighs it down. But oil is not going as far down as drivers across the world would like it to go—or as far as politicians up for reelection would like it to go. Barring a dramatic event of demand destruction, oil is going to remain expensive for the observable future. OPEC and its precious spare capacity The oil-producing cartel has repeatedly signaled that it is in no rush to deploy its spare capacity to boost global supply and bring down prices. One reason for this is the prices themselves: Saudi Arabia has been raising its oil prices for Asian buyers for several months in a row now because it can. The other reason is that spare capacity is limited. Earlier this week, when it released its latest Monthly Oil Market Report, OPEC warned that global oil demand is set to rise to levels that would test its production capacity. Known as the “call on OPEC crude,” the amount of oil that the cartel needs to produce in order to cover global demand could rise to 32 million barrels daily in 2023, OPEC said.  That would be up from 28.7 million bpd as of this June, which means OPEC would need to boost its production by over 3 million bpd within the next year and a half to cover demand, coming mostly from China and India. And it may not have the spare capacity to do it. Indeed, Reuters earlier this year cited analysts warning that this spare capacity could slip below 1 million bpd by the end of 2022.  Related: Record Profits Could Convince Oil Majors To Hike Dividends Not everyone agrees with OPEC’s demand forecast, of course. Energy Aspects, for instance, sees oil demand in 2023 at 101.8 million barrels daily, quite far below OPEC’s 103 million barrels daily. But even with demand at 101.8 million bpd, Energy Aspects’ Amrita Sen told the FT, “The market is incredibly tight and we do not think Opec have the capacity to deliver that.”
 U.S. shale continues cautiously While analysts discuss OPEC’s spare production capacity, in the United States, shale drillers continue their cautious approach to production growth amid continued calls from the White House to do just that. Since these calls have notably included a caveat that the energy transition remains priority number one, the industry has been in no rush to respond. According to the latest EIA Weekly Petroleum Status Report, total oil production in the week to July 15 averaged an estimated 11.9 million bpd, which was a decline of 100,000 bpd from the previous week. It was, however, an increase from a year ago, when production averaged 11.4 million bpd. The four-week average until July 15 was 12.025 million bpd. This is quite a solid increase on the year but not a solid enough increase against the background of demand. The White House has accused the industry of profiteering from high oil prices in a tight supply environment. The industry has countered that it is suffering various challenges, such as material and equipment shortages, and inflation has not been a stranger to the oil industry, either. Frac sand prices, for instance, had soared by 185 percent over the 12 months to March this year to some $40-$45 per ton. Steel prices have risen, too, and so have wages for oilfield workers amid a labor shortage. As a result, many shale drillers have turned to re-fracs to boost production.  Related: Saudi Arabia Has Big Plans To Boost Oil Export Capacity Re-fracs, as the name suggests, refers to secondary fracking of an existing well to suck out the remaining crude at a much lower cost than drilling a new well. This counters accusations of profiteering, but it doesn’t help boost production faster.
 Investor pressure remains Meanwhile, pressure from investors remains substantial on the public players in the U.S. oil field and not just there. Big Oil is a special target for investor pressure. And it’s not just pressure to keep returning cash after years of burning it while pumping as much as possible until prices crashed. It’s pressure to signal more climate-related responsibility. Shale drillers need to make more ambitious climate commitments, investment firm Kimmeridge Energy Investments said this week, as quoted by Bloomberg. In a white paper, the firm argued that the U.S. shale oil industry should seek to bring its net carbon footprint to zero by 2030. It should also provide consistent data in this respect to make it easier for investors to pick the best companies to invest in. “We have a carbon problem, not an oil and gas problem,” Ben Dell, co-founder and managing partner of Kimmeridge, told Bloomberg in an interview. “If we can get our oil and gas product to have no carbon footprint on a net basis, and debate how you measure it and the merits, then there’s no reason we shouldn’t use it.” Between OPEC’s shrinking production capacity, the U.S. shale labor shortage, and investors’ insistence on emission reporting and net-zero commitments, it’s not hard to see where oil prices are going, even if sanctions against Russia suddenly drop, which is not happening, even if the war in Ukraine ends, as multiple EU officials have said."
Guyana Poised To Break 1 Billion In Oil And Gas Revenue This Year.html,"As the burgeoning Guyanese offshore oil and gas industry goes from strength to strength, powered by the Stabroek block, government revenue from domestic production is on track to break the $1 billion mark this year and accelerate to $7.5 billion annually in 2030, according to Rystad Energy research. This year is set to be a turning point for the Georgetown government to start capitalizing on the vast reserves in the offshore field, with revenues more than doubling over 2021 levels.  Low breakevens and below-average emissions intensity in the Stabroek will propel Guyana from a relatively small producer to a global leader in the coming years, solidifying the country’s position as a competitive and policy-friendly player for offshore production.  The government’s take* from the production is expected to increase until 2025, reaching $4.2 billion annually. Triggered by a forecasted drop in oil prices and continued spending on the field’s development, government revenues will fall to $2.4 billion in 2027. Still, production growth is set to accelerate, with revenue momentum resuming as new pre-Final Investment Decision (FID) projects are sanctioned and brought online, leading to peak government revenues of $16 billion in 2036. These projections do not factor in as-yet undiscovered resources.  The recent spate of prolific discoveries and the steady pace of FIDs position the Guyanese government to reap the rewards of these finds with cumulative revenues totaling $157 billion by 2040.  Guyana is the global leader in total offshore discoveries since 2015, with 11.2 billion barrels of oil equivalent, amounting to 18% of discovered resources and 32% of discovered oil. Of the total, a whopping 9.6 billion barrels are oil, far outpacing the US in second place with a comparatively small 2.8 billion barrels. The Stabroek block accounts for all of these finds, but recent discoveries in other areas show the potential for growth elsewhere.   Guyana is forecasted to produce 1.7 million barrels per day (bpd) of oil by 2035 – not accounting for as-yet undiscovered volumes – propelling the country to the fourth position on the list of the largest global offshore oil producers, leapfrogging the US, Mexico and Norway.
 “Guyana is just starting to extract and monetize its vast resource wealth, and the coming years will be a financial windfall for the Georgetown government. The country has played the long game after several decades of elusive exploration. The country’s offshore production is finally ready to take off,” says Schreiner Parker, senior vice president and head of Latin America and the Caribbean.  Comparing the fiscal regimes of other offshore leaders, Guyana’s is on the higher end, with the government take clocking in at 59% of total value. In contrast, applying the US fiscal regime to the Stabroek block would result in a government take of only 40%. Nigeria and Brazil align more with Guyana’s fiscal policies, with 58% and 61%, respectively.   Related: Carbon Emissions On Track To Reach An All-Time High The cost of supply is a significant factor in considering the desirability of assets and comparing them to other sources and regions. Helping to transform Guyana into a global heavyweight in offshore production is its competitive breakeven costs, which average $28 per barrel across all projects and less than $20 for producing projects. Guyana’s offshore oil fields are some of the most competitive supply sources outside of the Middle East and offshore Norway and are cheaper than the US onshore heavyweight the Permian, Russia and many other sources.   In addition, emissions intensity from offshore activity in Guyana is lower than the global average for oil and gas production and deepwater offshore production, further strengthening the country’s position through the energy transition. Upstream emissions from Guyana’s deepwater activities average 9 kilograms of CO2 per boe, comparable to Brazil and slightly higher than Norway. 
 Although tensions with neighboring Venezuela and Suriname have been an issue in the past, warming relations have allowed for increased drilling along the borders and boosted overall investor sentiment in Guyana.   Still, it may not be all plain sailing. Strong institutional governance, transparency and regulatory practices will be vital to unlocking the full potential of Guyana’s resource wealth for its society. Although the government has taken steps to improve governance, including establishing a sovereign wealth fund and improving fiscal policy transparency, there are still improvements to be made. For instance, the Extractives Industries Transparency Initiative (EITI), which champions strong resource management and governance practices, recently found several weaknesses in Guyana’s company reporting and tax processes. However, their EITI score will likely grow in the coming years as recent improvements take effect.  *Government take refers to the value received by the government over the life of a license in the form of royalties, profit sharing and taxes. "
Worlds Top Oilfield Service Provider Raises Earnings Outlook.html,"Schlumberger (NYSE: SLB) reported on Friday higher-than-expected profit for the second quarter as drilling activity rebounded in all markets, prompting the world’s largest oilfield service provider to raise its 2022 revenue and earnings outlook as “the multiyear upcycle continues to gain momentum.”    Schlumberger booked earnings per share (EPS), excluding charges and credits, of $0.50 for the second quarter, up by 47% sequentially and 67% year on year. This past quarter’s EPS were higher than the $0.40 EPS average analyst estimate compiled by The Wall Street Journal. Schlumberger’s shares rose by 2.26% pre-market after the higher-than-expected earnings and revenue and the raised outlook for the full year.  For Q2, Schlumberger reported revenues of $6.8 billion, up by 14% sequentially and 20% year on year.  “As a result of this performance and based on our updated outlook for the remainder of the year, 2022 year-on-year revenue growth is now expected to be in the high-teens which translates to full-year revenue of at least $27 billion,” Schlumberger CEO Olivier Le Peuch said. 
 “We expect this higher revenue to result in earnings that exceed our previous expectations, given our ambition to exit the year with adjusted EBITDA margins 200 basis points higher than in the fourth quarter of 2021,” Le Peuch added.  “The multiyear upcycle continues to gain momentum with upstream activity and service pricing steadily increasing both internationally and in North America, resulting in a strengthened outlook for Schlumberger,” the executive said.  Related: The Commodities To Benefit From China’s Stimulus Plan Commenting on the oil market and drilling activity prospects, Le Peuch said, “Despite near-term concerns over a global economic slowdown, the combination of energy security, favorable break-even prices, and the urgency to grow oil and gas production capacity is expected to continue to support strong upstream E&P spending growth. Consequently, we are witnessing a decoupling of upstream spending from near-term demand volatility, resulting in resilient global oil and gas activity growth in 2022 and beyond.” 
 Schlumberger was the last of the three biggest oilfield service providers reporting Q2 earnings. Earlier this week, Baker Hughes (NASDAQ: BKR) flagged “mixed results” due to supply-chain inflation and revenue losses from the suspension of its operations in Russia. Baker Hughes sees the oil market facing “an unusual set of circumstances and challenges” for the rest of this year and into next year, Baker Hughes chairman and CEO Lorenzo Simonelli said.  Halliburton (NYSE: HAL) opened the oil and gas industry’s earnings season on Tuesday, reporting a 41-percent surge in its second-quarter adjusted net income amid growing drilling activity both in North America and in international markets, and saying it expects international markets to see “multiple years of growth.”   "
Putin Calls Saudi Crown Prince To Discuss Oil Market OPEC.html,"Russian President Vladimir Putin had a phone conversation with Saudi Arabia’s Crown Prince Mohammed bin Salman to discuss the oil market and OPEC+. The two parties also made a note of the importance of collaboration within OPEC+, adding that OPEC+ members have consistently fulfilled their obligations to maintain market balance and stability in the energy markets. OPEC+ has consistently failed to meet its production targets over the duration of the deal. In June, OPEC+--a group that includes both Russia and Saudi Arabia—increased its oil production by 390,000 bpd, but most members failed to meet their production targets. OPEC’s share of the increase for June was 210,000 bpd, while non-OPEC members part of the OPEC+ group increased production by 180,000 bpd, according to a recent Platts survey.
 Overall, this was still more than 2.5 million bpd under the quota for the full OPEC+ group. Russia and Saudi Arabia—the two largest producers within OPEC+--saw the biggest production gains in June. While the group has fallen short of production targets, OPEC continues to insist that the market is in balance. Saudi Arabia has long maintained that it can do nothing beyond what it is already doing to help the oil market, and that the market is far more complex than merely pumping additional barrels of oil.
 That hasn’t stopped President Joe Biden from repeatedly asking the group to increase its oil production to alleviate the high pump prices in the United States. While U.S. gasoline prices have eased over the last month to $4.44, they remain $1.278 above last year’s levels, according to AAA data. The phone call is just the latest in a series of calls between Saudi Arabia and Russia, even after Russia’s invasion of Ukraine."
The Middle East Oil Bonanza Will Slow In 2023.html,"Slowing global oil demand growth next year, spiking food prices, and fears of recession in major oil-importing countries are set to slow economic growth in the Middle East, whose major oil producers are enjoying this year a windfall of oil revenues and the highest growth in years.    Economies in the Arab Gulf states that are part of the Gulf Cooperation Council (GCC)—Bahrain, Kuwait, Oman, Qatar, Saudi Arabia, and the United Arab Emirates (UAE)—are on track for the fastest economic growth in years and for budget surpluses, for some of them the first surpluses in a decade. Growth in the GCC is expected at 6.2% this year, according to a Reuters poll of economists who revised up their 5.9% economic growth forecast from a similar poll in April.   However, growth will slow down next year, to 3.8% across the GCC, the economists reckon.   “A broadening or worsening of the war in Ukraine could tip the global economy into recession, pushing oil prices down sharply even if oil supply remains constrained, hitting regional growth and fiscal balances,” Ensaf Al-Matrouk, assistant economist at NBK, told Reuters.  $100 Oil Is A Boon To Middle East’s Oil Exporters  Triple-digit oil prices have accelerated economic growth in the major Middle Eastern oil exporters, including the world’s largest crude oil exporter, Saudi Arabia. Oil revenues are soaring, fiscal balances are strong, and growth – fueled by higher oil prices and higher oil production as OPEC+ rolls back the output cuts – is being revised up. Moreover, inflation is not as high in Middle Eastern oil exporters as it is in the United States and Europe, which protects the Gulf economies to some extent from global inflationary pressures.     The Saudi economy, for example, is set for stronger performance this year than previously expected amid high oil prices, the International Monetary Fund (IMF) said in April, revising its growth forecast to 7.6% for 2022, up by 2.8 percentage points from the previous estimate.
  Related: U.S. Hopes For Price Cap On Russian Oil By Year-End For the first quarter alone, Saudi Arabia’s economy grew by 9.9% annually, the highest growth rate since 2011, the General Authority for Statistics says, attributing the growth to the “high increase in oil activities,” which surged by 20.3% year over year. Moreover, Saudi Arabia booked a budget surplus of $15.3 billion (57.491 billion Saudi riyals) in the first quarter, the ministry of finance said in May. Oil revenues soared by 58 percent to $49 billion (183.7 billion Saudi riyals) between January and March, when oil prices surged to above $100 a barrel, the finance ministry data showed.  For the whole of 2022, the Saudi economy is set to grow by 7.6%, the fastest growth pace in more than a decade, according to the Reuters poll. This is in line with the IMF projection from April.  Slowdown in 2023 Next year, however, the pace of growth in Saudi Arabia and the GCC is set to halve, with 3.8% growth expected for the GCC countries and 3.3% for Saudi Arabia by the Reuters poll. The IMF also predicts slower growth in Saudi Arabia next year, at 3.6%.  If recession fears in Europe or the U.S. materialize, economic growth in the Middle East could be even slower as a recession would curb global oil demand growth or could even lead to a decline in consumption year over year. The Gulf economies, dependent on oil revenues, would feel the sting of potentially lower demand and lower oil prices once again.  That’s why the IMF and other major economic forecasters and bodies have been advising Saudi Arabia and all of the Middle Eastern oil and gas exporters for years to speed up the diversification of economies and not to rely on the cyclical nature of the oil windfall.  
 “Fiscal policy should focus on managing the higher oil revenue gains sustainably,” the IMF said last month about the Saudi economy. Much lower inflation in Saudi Arabia and other major oil exporters than the largest jump in consumer prices in 40 years in the U.S. and many countries in Europe is a good thing for the Middle East economies now, analysts say. In Saudi Arabia, headline inflation is set to accelerate in the second half of 2022, but will remain contained at 2.8 percent on average in 2022 as an appreciating U.S. dollar to which the Saudi riyal is pegged, caps on gasoline prices, and subsidies on wheat help contain pressure from supply-side shocks, the IMF said in June.  Despite slower expected growth next year, the sovereign outlook on the Middle East remains at “improving,” per Fitch Ratings’ latest outlook. The rating agency revised the global sovereign credit conditions to “neutral” from “improving,” due to the impact of the Russian invasion of Ukraine and consequent sanctions on geopolitical risk, trade and capital flows, and economic growth and inflation.  “The Middle East and North Africa (MENA) is the only region to maintain its improving sector outlook assigned at end-2021. Oil-exporting sovereigns will register significantly stronger public finances and growth in 2022, although the economic picture will be much more challenging outside the Gulf Cooperation Council,” Fitch Ratings said at the end of last month.   "
Saudi Arabias Ability To Pump More Oil Limited.html,"Saudi Arabia has limited additional crude oil production capacity, Wall Street Journal sources revealed on Wednesday. The sources, who are said to be familiar with Saudi Arabia’s oil production capabilities, were not named.
 The mystery surrounding Saudi Arabia’s crude production capabilities has grown in recent weeks amid a tight oil market, Europe’s energy crisis, and the United States’ battle with high retail gasoline prices. Large oil producers such as Saudi Arabia—thought to be one of the only possible swing producers left within OPEC—try to maintain at least some spare capacity that can be turned on to respond to market demands, providing those producers with greater market control. Alternatively, the market is spooked by a lack of spare capacity—particularly of OPEC’s largest producer—adding more volatility to already volatile oil prices. That fear exists even if that spare capacity is not needed now, simply because it means that should demand increase or supply elsewhere falter, they would be unable to respond to the changing market conditions.
 U.S. President Joe Biden just returned from a trip to Saudi Arabia. Upon his return, the President said that he expected Saudi Arabia to boost oil production. Saudi Arabia, however, is bound by the production quota that it agreed to with OPEC+, at least until the end of August. Under that deal, Saudi Arabia’s production quota will be lifted to 11.004 million bpd for that month. After that, Saudi Arabia would be free to produce as much crude oil as it would like, limited only by its willingness to do so and its spare capacity. Today is not the first time that concerns have been raised that Saudi Arabia’s true spare capacity is quite thin. For June, Saudi Arabia produced 10.424 million bpd, an increase of 60,000 bpd from the month prior. Its allocated quota for the month of June was 10.662—a miss of 238,000 bpd. Its under production lends credence to the notion that Saudi Arabia might not have as much spare capacity as some think."
Russias Cheap Oil Gains Market Share In China.html,"China continues to buy discounted Russian crude and is gobbling up the ESPO crude grade from Russia’s Far East, upending global trade flows. ESPO, which Russia ships from its Far Eastern ports, is being offered at a 10-percent discount compared to similar-quality crudes from Brazil or West Africa, traders familiar with the Chinese buying told Bloomberg on Wednesday.   ESPO goes for around $1-$2 discount per barrel to the international benchmark Brent, while Brazil’s Lula and Sapinhoa crudes, for example, are being offered at a $10 per barrel premium over Brent, the traders told Bloomberg.
 The high demand for the cheaper Russian crude relative to rival grades has already reduced Chinese imports from West Africa, and even forced Iran to additionally discount its crude going to China—pretty much the only current buyer of Iranian oil, which continues to be under U.S. sanctions. ESPO is also attractive in China because shipment from Russia’s Far Eastern port of Kozmino takes around four days, compared to two months for a cargo delivery from Brazil. ESPO is among the favorite blends of China’s independent refiners, the so-called teapots, and they have lifted a lot of that grade over the past weeks, traders told Bloomberg.  
 The high Chinese demand for cheaper Russian crude was evident in the Chinese customs data released on Wednesday, which showed that Russia remained China’s top oil supplier ahead of Saudi Arabia for a second month running, while Saudi oil imports slumped. In June, China imported around 1.77 million barrels per day (bpd) of Russian oil, below the previous month’s record, but still way ahead of shipments from Saudi Arabia, according to the customs data cited by Reuters. Chinese oil imports from Saudi Arabia slumped to 1.23 million bpd, from 1.84 million bpd in May, and were 30% below the June 2021 imports. In May, China imported a record volume of Russian crude, with arrivals surging by 55 percent to nearly 2 million bpd. This made Russia the top oil supplier to the world’s leading crude importer—putting it ahead of Saudi Arabia for the first time in a year and a half."
How China Could Trigger The Next Sharp Selloff In Crude.html,
Libyas Oil Crisis Is Far From Over.html,"  For a moment last week, it seemed that Libya might be snapping back into some version of itself more approaching normalcy than has been evident for some time. There was news from local sources that the country’s state-owned National Oil Corporation (NOC) had lifted the force majeure on the eastern oil terminals of Zueitina and Brega that had been in place on and off for weeks. This move was made specifically to allow an oil tanker ship to carry condensate for use in power generation in the country, but the expectations were that it would presage a broader opening of Libya’s oil export infrastructure. Such force majeures and other associated shutdowns and blockades have resulted in Libya producing just 650,000 barrels per day (bpd) of crude oil in June, its lowest level since October 2020. This message of optimism was one conveyed also by NOC chairman, Mustafa Sanalla, last week. And yet, within the space of just a few hours, Libya had returned to its usual state of extreme nervous tension, with all the reliability and trustworthiness as a global oil supplier of a puff adder on Benzedrine. Functioning more every day as a twisted parody of the failed state that the casual removal in 2011 by the West of its long-time leader, Muammar Gaddafi, made it, Libya appears now to have lost Sanalla himself as the chairman of the NOC, with all the additional chaos that this may spark. According to several local news reports, the Government of National Unity of Prime Minister, Abdul Hamid Dbeibah, has replaced Sanalla as the chairman of the NOC with his long-time associate, Farhat Bengdara, who was governor of the Central Bank of Libya from 2006 to 2011. Sanalla, highly respected by several international oil companies (IOCs) for keeping much of Libya’s oil production flowing despite extreme political pressures from all sides in the ongoing civil conflict, has rejected Prime Minister Dbeibah’s authority to sack him. Additionally, in a fiery television appearance, Sanalla – who has received backing from both of Libya’s opposing legislative bodies - warned Dbeibah not to touch the NOC or the oil revenues and contracts that it manages. Bengdara then held his own news conference at the NOC headquarters building and received the backing of two major NOC affiliate companies - Al Waha Oil, and Arabian Gulf Oil - before Al Waha then deleted its message of support.   Related: EU Considers Mandatory Gas Rationing All of this follows the very recent failed attempt by Fathi Bashagha – appointed prime minister of the ‘alternative government’ in the east of the country three months ago – to seize power in Tripoli. Bashagha, and the Nawasi Brigade militia who accompanied him, were eventually driven out of the city by various of the many factions fighting there. This occurred amid the ongoing refusal of the Dbeibah - who was appointed through a United Nations (U.N.)-led process in 2021 - to hand over power until such a time as a properly elected government is voted into office by the people of Libya. Bashagha, who has led three such coup attempts in three months, is unlikely to stop his current attempts to seize power, given the distinct possibility that recent talks held in Egypt at the behest of U.N. envoy Stephanie Williams to reach an agreement on a new constitutional framework and a timeline for elections might see him side-lined. 
 Since the removal of long-time leader Gaddafi, in 2011, as analysed in depth in my new book on the global oil markets, the multi-factional civil conflict that has ensued found genuine relief only in the September 2020 agreement signed between Khalifa Haftar, the commander of the rebel Libyan National Army (LNA) and elements of Tripoli’s U.N.-recognised Government of National Accord (GNA). However, even back then, a key part of this deal was an in-principle agreement to look into establishing a commission not only to determine how oil revenues across Libya are distributed but also to consider the implementation of a number of measures designed to stabilise the country’s perilous financial position. Just prior to the September 2020 agreement, there had been yet another series of long-running oil blockades that had cost the country an estimated US$9.8 billion in lost hydrocarbons revenues.  Both before this 2020 agreement and after it began to break down, Libya’s oil sector has been subject to various-scale blockades of its key oil facilities, and the NOC had also declared a legal state of ‘force majeure’ because “it is impossible to implement its commitments towards the oil market.” Libyan crude oil production had seen the extended loss of around 550,000 bpd of its oil production because of these blockades on major fields and export terminals, which included the closure of the Zueitina port, whose crude loadings average around 90,000 bpd, with production also stopped at Abuatufol, Al-Intisar, Anakhla, and Nafura. Just prior to this, the Sharara field in the west of the country, which can pump around 300,000 bpd, was also shut down and just prior to this the El Feel oil field, which produces 70,000 bpd, was closed, as was the 60,000 bpd Brega operation. These sites are key suppliers of mostly high-quality light, sweet crude oil, notably including the Es Sider and Sharara export crudes that are particularly in demand in the Mediterranean and Northwest Europe for their gasoline and middle distillate yields. Before Gaddafi’s removal in 2011, Libya had been easily able to produce around 1.65 million bpd of mostly high-quality light, sweet crude oil and production had been on a rising production trajectory, up from about 1.4 million bpd in 2000, albeit well below the peak levels of more than 3 million bpd achieved in the late 1960s. This said, the NOC had plans in place before 2011 to roll out enhanced oil recovery (EOR) techniques to increase crude oil production at maturing oil fields. Even up until the most recent major production blockades of its western fields ended and eastern ports, Libya had been producing around 1.2 million bpd. From that level, there still appeared ample scope to increase this to the 2.1 million bpd targeted by Libya’s minister of gas and oil, Mohamed Aoun, and to hit the informal interim targets of 1.45 million bpd by the end of 2022, and 1.6 million bpd by the end of 2023. It is apposite to remember at this point that Libya still has around 48 billion barrels of proved crude oil reserves – the largest in Africa. 
 A considerable part of the reason for Sanalla’s dismissal by Dbeibah may have been to do with his ongoing disagreements with oil and gas minister Aoun, but this in turn is tied into the ongoing failure of all parties to agree on any meaningful handling of the country’s oil and gas revenues. At the core of Libya’s short-, medium-, and long-term crude oil production outlook, and again reiterated behind the scenes in the recent Cairo talks initiated by the U.S., is that there must be genuine progress on the issue of fair distribution of oil revenues, the promise of which had successfully underpinned the 2020 agreement for longer than anyone expected. According to a Washington-based legal source spoken to by OilPrice.com at the time of the September 2020 agreement and reiterated recently, the NOC had been working on “alternative banking arrangements for the oil revenues that may or may not involve the input on final dispersal of more players.”  Part of this process would be the creation of technical committees with representatives drawn from all sides of the civil conflict. These separate committees would deal with field awards, in tandem with the oil and gas ministry, and the dispersal of oil and gas revenues, in tandem with the ministry and the Central Bank of Libya (in which the revenues are physically held). As it stands, neither the GNA nor the Central Bank of Libya have publicly and unequivocally agreed to its core principles as yet. Indeed, during the last major series of blockades of Libya’s oil infrastructure, the U.S. ambassador to Libya, Richard Norland, urged the country’s central bank to safeguard oil revenue from misappropriation. Bengdara said last week that any challenge to his leadership of the NOC should be made via the courts, but parliament stated that Sanalla’s position and his board remained valid, while the other legislative body, the Tripoli-based High State Council, called on Dbeibah to revoke the decision to install a new NOC head. Bengdara also said that there would be “good news next week” on returning oil exports to their maximum level, it remains unclear how true or long-lasting this might be, given the ongoing turmoil over the leadership of the NOC. "
Libya To Resume Oil Exports After Lifting Force Majeure.html,"Libya will begin loading oil for export on July 20 after the force majeure was declared lifted following an intense battle for control of the National Oil Company (NOC) last week.  The Government of National Unity (GNU), led by interim prime minister Abdul Hamid Dbeibah, last week appointed a new chairman of the NOC to replace long-time chairman Mustafa Sanalla, who refused to step down when armed militias stormed the headquarters.  After days of silence on the NOC website and social media pages, late on Monday, a statement released on the NOC Facebook page said that two tankers would arrive at the ports of Zueitina and Sidra to load more than one million barrels of oil. The statement also said that an additional two tankers would arrive at the port of Ras Lanuf, either on the 20th or 21st. 
 “These arrangements have been made in order to resume production operations,” NOC added. Farhat Bengdara (bin Qadara) on Sunday said he had officially taken over the NOC and announced that the oil blockade would be lifted within a week after holding talks with powerbrokers in the ‘Oil Crescent’ region.  Sanalla remains silent, and talk now is of some sort of alliance-shifting deal between General Khalifa Haftar, the head of the Libyan National Army (LNA) who had supported Dbeibah’s rival, Fathi Bashagha. 
 Bashagha was appointed new prime minister in March by the country’s eastern-backed Parliament, while Dbeibah, whose mandate technically ended when his government failed to hold elections in December last year, has refused to step down. As of June 30th, Libya was exporting between 365,000 and 409,000 barrels per day. Prior to the declaration of force majeure in April, the country was exporting up to 865,000 bpd, according to NOC data cited by S&P Platts. "
Are OPEC And The IEA Right About Whats Next For Oil.html,"Both OPEC and the International Energy Agency are predicting next year’s market to be one of the tightest in recent history. According to a Financial Times post, the two bodies have based this assumption on recovering demand in China and continued growth in India. The prediction also runs counter to widespread fears of recession. With oil prices currently declining from record highs, it can be difficult to predict where the market will go next. However, as Investing.com reports, it’s not that the IEA is completely ignoring those recession fears. In fact, the organization has reduced its expected increase in demand for next year specifically because of recessionary forces. That said, they are still predicting an increase in demand of 2.1M b/d – down from 2.2M b/d estimated last month. Still, after 2022’s surge in oil prices, is it even possible to determine where demand will go from here? Well, in its first forecast for 2023, OPEC said it expected average demand to rise by 2.7  million barrels a day next year. This would put estimates at roughly 103mn b/d total. The forecast is based heavily on increased economic activity and even makes light of fears that a recession would crush demand. At the same time, oil production from non-OPEC countries is only expected to grow by 1.7mn b/d. This will place a heavy burden on OPEC’s 13 members, some of which (notably Nigeria and Angola) are already struggling to meet current output targets. Furthermore, Saudi Arabia is already committed to pumping 11mn b/d by August – a level of production it has never sustained for a prolonged period. Get all the latest information on global commodities and metals. Sign up for the FREE weekly MetalMiner newsletter here. 
 To add uncertainty to the situation, the FT stated that OPEC’s analysis might not properly account for Russia. In fact, it assumes that, despite the war in Ukraine, Russian oil output will only decrease by 200,000 b/d in 2023 to 10.4mn b/d. This is a highly uncertain figure, to put it mildly. So, to bridge the gap between supply and demand, the FT states OPEC would therefore have to pump an average of 30.1mn b/d during the year. This, according to the cartel’s own estimate. But seasonal variations in demand mean the call on OPEC crude would reach as much as 32mn b/d in the last three months of the year. That is approximately 3.3mn b/d more than the 28.7mn b/d OPEC’s members produced in June.  Related: U.S. Rig Count Rises Despite Chaotic Week In Oil Markets However, not everyone is quite so bullish. For instance, oilprice.com reported this week how widespread recession fears are affecting investment. The article states that hedge fund and other money managers have been quitting their oil positions at one of the fastest rates in the post-pandemic period. Indeed, they sold a total of 201 million barrels in the past four weeks. That current market view has resulted in sharp falls this week. This has left the WTI down more than 7% to below $96.50 and left Brent hovering around $100.
 It’s important to note that fears of ongoing disruption in China are not constrained to oil. This past week, COVID-triggered lockdowns resulted in iron ore prices plunging on concerns of weakening Chinese demand. Many traders were shocked to see the front-month Dalian contract lose 4% in one day, dropping to just $110/mt. So who is your money on? On the one hand, you have OPEC and the IEA’s optimistic view of constrained supply and rising demand. On the other hand, you have the prevailing market view. It states that recessionary pressures in the West and further lockdown-related disruption in China will hamper recovery and drastically reduce demand. Both could be correct, of course. Perhaps the former will describe the long term while the latter describes the short term? In the end, a lot will depend on whether or not a recession takes place and its overall severity. We also have to consider China’s recovery after the October re-election of President Xi, and Russia’s ability to continue to pump and find markets for its oil. There are too many moving pieces to call it at the moment and too much potential for volatility. Ultimately, the best advice is for exposed consumers to lock in profits whenever they can."
